Date,KPI EAU,TCM,E_Appro Facturation,EI_Facturation,EP_Facturation,E. Appro Looker,EI_Looker,EP_Looker,ED_Total,EOR_Total,EP Cantines,EP Sanitaires,EP IFMIA,BD NORD,BD SUD,ZC,U3,Bât X,AEB+AKP,EP Arrosage,Rejet sanitaires,Rejet STEP,EI_TTS CATA_PA,EI_Application PA,EI_Peinture,ED_TTS CATA_PA,ED_Application PA,ED_Peinture,EI_TARs,EI_STEP,EI_AEB,EI_TC,EI _TOUR UE,EI_BD1&2,EI _ST,EI_Bouclier,EI_Incendie,EI Autres Process,ED_PB,ED_AEB,ED_TC,ED_BD,ED_UE,EOR TAR UE,EOR TAR BD,EOR TAR ST,is_arret,is_weekend,is_lundi,jour_semaine,mois,trimestre,nom_jour,semaine_annee,KPI_m3_veh,ratio_EOR_ED,taux_EP,taux_EI,anomalie_kpi,anomalie_recyclage,KPI_MA7,KPI_MA30,conso_MA7,zscore_KPI,zscore_conso,anomalie_zscore,anomalie_IF,score_IF,anomalie_finale,anomalie_forte
2026-01-06,1.228654124457308,691.0,849.0,458.0,348.0,776.0,441.0,335.0,672.0,88.0,82.0,263.0,3.0,9.0,9.0,15.0,19.0,12.0,18.0,0.0,355.0,0.0,198.0,62.0,260.0,502.0,95.0,597.0,58.0,31.0,72.0,84.0,20.0,33.0,5.0,0.0,0.0,-47.0,12.0,60.0,12.0,60.0,0.0,50.0,33.0,5.0,0,0,0,1,1,1,Tuesday,2,1.1230101302460205,0.1309523809523809,0.431701030927835,0.5682989690721649,0,0,,,770.0,0.10468438654104778,1.2497294034622133,0,0,-0.44851663163723793,0,0
2026-01-07,1.0731707317073171,738.0,792.0,456.0,309.0,809.0,481.0,328.0,729.0,38.0,89.0,218.0,2.0,9.0,10.0,15.0,23.0,13.0,19.0,0.0,315.0,0.0,209.0,63.0,272.0,465.0,96.0,561.0,44.0,38.0,72.0,81.0,22.0,18.0,4.0,5.0,21.0,-77.0,11.0,65.0,11.0,55.0,0.0,53.0,-19.0,4.0,0,0,0,2,1,1,Wednesday,2,1.0962059620596205,0.0521262002743484,0.4054388133498146,0.5945611866501854,0,1,,,775.5714285714286,0.15246694514315592,1.1347661268414957,0,0,-0.5422316007854208,0,0
2026-01-08,1.0274725274725274,910.0,935.0,605.0,312.0,910.0,599.0,311.0,642.0,90.0,81.0,230.0,1.0,8.0,9.0,14.0,22.0,11.0,17.0,0.0,318.0,0.0,280.0,58.0,338.0,457.0,16.0,473.0,47.0,56.0,72.0,94.0,31.0,11.0,5.0,4.0,0.0,-6.0,15.0,68.0,15.0,60.0,0.0,73.0,12.0,5.0,0,0,0,3,1,1,Thursday,2,1.0,0.1401869158878504,0.3417582417582417,0.6582417582417582,0,0,1.0730720307685468,,821.2857142857143,0.3239688917067669,0.782908825668996,0,0,-0.3944383142582026,0,0
2026-01-09,1.339622641509434,742.0,994.0,671.0,347.0,934.0,633.0,301.0,575.0,81.0,86.0,259.0,2.0,10.0,10.0,15.0,21.0,10.0,20.0,0.0,353.0,0.0,222.0,83.0,305.0,410.0,2.0,412.0,38.0,80.0,72.0,98.0,29.0,4.0,5.0,0.0,62.0,16.0,12.0,72.0,12.0,56.0,0.0,71.0,5.0,5.0,0,0,0,4,1,1,Friday,2,1.2587601078167117,0.1408695652173913,0.3222698072805139,0.6777301927194861,0,0,1.119494050030588,,860.4285714285714,0.137310858877445,0.6992991699448377,0,0,-0.42106563770647676,0,0
2026-01-10,1.09130060292851,1161.0,1267.0,1008.0,242.0,1325.0,1048.0,277.0,614.0,91.0,68.0,174.0,0.0,7.0,8.0,13.0,19.0,6.0,15.0,0.0,246.0,0.0,299.0,61.0,360.0,425.0,14.0,439.0,47.0,296.0,0.0,96.0,33.0,8.0,6.0,4.0,27.0,178.0,15.0,76.0,15.0,58.0,0.0,77.0,8.0,6.0,0,1,0,5,1,1,Saturday,2,1.1412575366063735,0.1482084690553746,0.2090566037735849,0.7909433962264151,0,0,1.1238467473457452,,945.1428571428572,0.07215557394419043,0.6628414712279085,0,0,-0.38854387232306814,0,0
2026-01-12,0.9282945736434108,1032.0,958.0,657.0,257.0,958.0,682.0,276.0,591.0,112.0,73.0,182.0,2.0,7.0,8.0,14.0,17.0,12.0,15.0,0.0,262.0,0.0,230.0,58.0,288.0,450.0,45.0,495.0,70.0,105.0,72.0,92.0,29.0,36.0,5.0,0.0,38.0,-8.0,12.0,49.0,12.0,12.0,0.0,70.0,37.0,5.0,0,0,1,0,1,1,Monday,3,0.9282945736434108,0.1895093062605753,0.2881002087682672,0.7118997912317327,0,0,1.091254718395356,,954.5714285714286,0.45179485941246533,0.6156895142206793,0,0,-0.42741974864935994,0,0
2026-01-13,0.8590192644483362,1142.0,981.0,622.0,334.0,959.0,626.0,333.0,717.0,76.0,82.0,249.0,3.0,8.0,9.0,13.0,22.0,13.0,17.0,0.0,340.0,0.0,269.0,55.0,324.0,511.0,94.0,605.0,28.0,63.0,72.0,86.0,36.0,-14.0,6.0,10.0,44.0,-5.0,19.0,51.0,19.0,12.0,0.0,84.0,-14.0,6.0,0,0,0,1,1,1,Tuesday,3,0.839754816112084,0.105997210599721,0.3472367049009385,0.6527632950990615,0,0,1.0440454993730337,1.0553261609263174,980.7142857142856,0.6096306155320542,0.6122057785655061,0,0,-0.4229655226103494,0,0
2026-01-15,0.8566581849024597,1179.0,1010.0,739.0,239.0,962.0,704.0,258.0,565.0,115.0,68.0,169.0,2.0,7.0,8.0,11.0,15.0,12.0,15.0,0.0,243.0,0.0,252.0,102.0,354.0,411.0,61.0,472.0,56.0,83.0,72.0,99.0,41.0,12.0,3.0,2.0,10.0,63.0,11.0,47.0,11.0,12.0,1.0,99.0,13.0,3.0,0,0,0,3,1,1,Thursday,3,0.8159457167090755,0.2035398230088495,0.2681912681912682,0.7318087318087318,0,0,0.9968025501775312,1.025403605399162,1023.2857142857144,0.6520740026790169,0.6017545715999862,0,0,-0.4365224039678045,0,0
2026-01-16,0.8130921619293713,1161.0,944.0,582.0,314.0,897.0,585.0,312.0,588.0,77.0,83.0,229.0,2.0,8.0,9.0,15.0,22.0,12.0,17.0,0.0,320.0,0.0,283.0,61.0,344.0,440.0,49.0,489.0,38.0,31.0,72.0,95.0,28.0,5.0,5.0,5.0,13.0,-16.0,13.0,50.0,13.0,12.0,0.0,67.0,5.0,5.0,0,0,0,4,1,1,Friday,3,0.772609819121447,0.1309523809523809,0.3478260869565217,0.6521739130434783,0,0,0.8995724924384781,0.9973154069238604,1018.0,0.7293269154221349,0.8281973891862484,0,0,-0.39918644149849547,0,0
2026-01-17,0.7400318979266348,1254.0,928.0,602.0,308.0,860.0,571.0,289.0,625.0,72.0,72.0,239.0,-3.0,9.0,9.0,15.0,12.0,9.0,18.0,0.0,314.0,-1.0,314.0,44.0,358.0,453.0,22.0,475.0,35.0,33.0,10.0,79.0,25.0,5.0,5.0,0.0,20.0,67.0,13.0,51.0,13.0,62.0,0.0,61.0,6.0,5.0,0,1,0,5,1,1,Saturday,3,0.6858054226475279,0.1152,0.336046511627907,0.663953488372093,0,0,0.8084820696467091,0.9661644084962272,951.5714285714286,0.8840691231486245,0.9570956084276592,0,0,-0.41807426352326543,0,0
