Date,KPI EAU,TCM,E_Appro Facturation,EI_Facturation,EP_Facturation,E. Appro Looker,EI_Looker,EP_Looker,ED_Total,EOR_Total,EP Cantines,EP Sanitaires,EP IFMIA,BD NORD,BD SUD,ZC,U3,Bât X,AEB+AKP,EP Arrosage,Rejet sanitaires,Rejet STEP,EI_TTS CATA_PA,EI_Application PA,EI_Peinture,ED_TTS CATA_PA,ED_Application PA,ED_Peinture,EI_TARs,EI_STEP,EI_AEB,EI_TC,EI _TOUR UE,EI_BD1&2,EI _ST,EI_Bouclier,EI_Incendie,EI Autres Process,ED_PB,ED_AEB,ED_TC,ED_BD,ED_UE,EOR TAR UE,EOR TAR BD,EOR TAR ST,is_arret,is_weekend,is_lundi,jour_semaine,mois,trimestre,nom_jour,semaine_annee,KPI_m3_veh,ratio_EOR_ED,taux_EP,taux_EI,anomalie_kpi,anomalie_recyclage,KPI_MA7,KPI_MA30,conso_MA7,zscore_KPI,zscore_conso,anomalie_zscore,anomalie_IF,anomalie_finale,anomalie_seuil,anomalie_IF_corrige,zscore_KPI_corrige,anomalie_zscore_corrige,anomalie_finale_corrigee
2026-01-06,1.228654124457308,691.0,849.0,458.0,348.0,776.0,441.0,335.0,672.0,88.0,82.0,263.0,3.0,9.0,9.0,15.0,19.0,12.0,18.0,0.0,355.0,0.0,198.0,62.0,260.0,502.0,95.0,597.0,58.0,31.0,72.0,84.0,20.0,33.0,5.0,0.0,0.0,-47.0,12.0,60.0,12.0,60.0,0.0,50.0,33.0,5.0,0,0,0,1,1,1,Tuesday,2,1.228654124457308,0.1309523809523809,0.3945818610129564,0.519434628975265,0,0,,,834.6666666666666,0.007765930733149655,1.1073225239340474,0,0,0,1,0,0.007765930733149655,0,1
2026-01-07,1.0731707317073171,738.0,792.0,456.0,309.0,809.0,481.0,328.0,729.0,38.0,89.0,218.0,2.0,9.0,10.0,15.0,23.0,13.0,19.0,0.0,315.0,0.0,209.0,63.0,272.0,465.0,96.0,561.0,44.0,38.0,72.0,81.0,22.0,18.0,4.0,5.0,21.0,-77.0,11.0,65.0,11.0,55.0,0.0,53.0,-19.0,4.0,0,0,0,2,1,1,Wednesday,2,1.0731707317073171,0.0521262002743484,0.4141414141414141,0.6073232323232324,0,1,,,828.5714285714286,0.22649794061636938,1.2943152060657148,0,0,0,1,1,0.22649794061636938,0,1
2026-01-08,1.0274725274725274,910.0,935.0,605.0,312.0,910.0,599.0,311.0,642.0,90.0,81.0,230.0,1.0,8.0,9.0,14.0,22.0,11.0,17.0,0.0,318.0,0.0,280.0,58.0,338.0,457.0,16.0,473.0,47.0,56.0,72.0,94.0,31.0,11.0,5.0,4.0,0.0,-6.0,15.0,68.0,15.0,60.0,0.0,73.0,12.0,5.0,0,0,0,3,1,1,Thursday,2,1.0274725274725274,0.1401869158878504,0.332620320855615,0.6406417112299465,0,0,1.1097657945457176,,858.7142857142857,0.2907855785662431,0.8251932140511806,0,0,0,0,0,0.2907855785662431,0,0
2026-01-09,1.339622641509434,742.0,994.0,671.0,347.0,934.0,633.0,301.0,575.0,81.0,86.0,259.0,2.0,10.0,10.0,15.0,21.0,10.0,20.0,0.0,353.0,0.0,222.0,83.0,305.0,410.0,2.0,412.0,38.0,80.0,72.0,98.0,29.0,4.0,5.0,0.0,62.0,16.0,12.0,72.0,12.0,56.0,0.0,71.0,5.0,5.0,0,0,0,4,1,1,Friday,2,1.339622641509434,0.1408695652173913,0.3028169014084507,0.6368209255533199,0,0,1.1672300062866467,,888.7142857142857,0.1483431323588849,0.6316393851780512,0,0,0,0,0,0.1483431323588849,0,0
2026-01-10,1.09130060292851,1161.0,1267.0,1008.0,242.0,1325.0,1048.0,277.0,614.0,91.0,68.0,174.0,0.0,7.0,8.0,13.0,19.0,6.0,15.0,0.0,246.0,0.0,299.0,61.0,360.0,425.0,14.0,439.0,47.0,296.0,0.0,96.0,33.0,8.0,6.0,4.0,27.0,178.0,15.0,76.0,15.0,58.0,0.0,77.0,8.0,6.0,0,1,0,5,1,1,Saturday,2,1.09130060292851,0.1482084690553746,0.2186266771902131,0.8271507498026835,0,0,1.1520441256150191,,957.8571428571428,0.20099307414158196,0.2639571450315142,0,0,0,0,0,0.20099307414158196,0,0
2026-01-12,0.9282945736434108,1032.0,958.0,657.0,257.0,958.0,682.0,276.0,591.0,112.0,73.0,182.0,2.0,7.0,8.0,14.0,17.0,12.0,15.0,0.0,262.0,0.0,230.0,58.0,288.0,450.0,45.0,495.0,70.0,105.0,72.0,92.0,29.0,36.0,5.0,0.0,38.0,-8.0,12.0,49.0,12.0,12.0,0.0,70.0,37.0,5.0,0,0,1,0,1,1,Monday,3,0.9282945736434108,0.1895093062605753,0.2881002087682672,0.7118997912317327,0,0,1.1147525336197512,,984.1428571428572,0.43030783102975656,0.7497400265243674,0,0,0,0,0,0.43030783102975656,0,0
2026-01-13,0.8590192644483362,1142.0,981.0,622.0,334.0,959.0,626.0,333.0,717.0,76.0,82.0,249.0,3.0,8.0,9.0,13.0,22.0,13.0,17.0,0.0,340.0,0.0,269.0,55.0,324.0,511.0,94.0,605.0,28.0,63.0,72.0,86.0,36.0,-14.0,6.0,10.0,44.0,-5.0,19.0,51.0,19.0,12.0,0.0,84.0,-14.0,6.0,0,0,0,1,1,1,Tuesday,3,0.8590192644483362,0.105997210599721,0.3394495412844037,0.6381243628950051,0,0,1.053146723618256,1.078219209452406,1003.0,0.5277634328629695,0.6742868389975543,0,0,0,1,0,0.5277634328629695,0,1
2026-01-15,0.8566581849024597,1179.0,1010.0,739.0,239.0,962.0,704.0,258.0,565.0,115.0,68.0,169.0,2.0,7.0,8.0,11.0,15.0,12.0,15.0,0.0,243.0,0.0,252.0,102.0,354.0,411.0,61.0,472.0,56.0,83.0,72.0,99.0,41.0,12.0,3.0,2.0,10.0,63.0,11.0,47.0,11.0,12.0,1.0,99.0,13.0,3.0,0,0,0,3,1,1,Thursday,3,0.8566581849024597,0.2035398230088495,0.2554455445544554,0.697029702970297,0,0,1.0149790534864302,1.050524081383663,1053.7142857142858,0.5310849687867072,0.579150211246355,0,0,0,0,0,0.5310849687867072,0,0
2026-01-16,0.8130921619293713,1161.0,944.0,582.0,314.0,897.0,585.0,312.0,588.0,77.0,83.0,229.0,2.0,8.0,9.0,15.0,22.0,12.0,17.0,0.0,320.0,0.0,283.0,61.0,344.0,440.0,49.0,489.0,38.0,31.0,72.0,95.0,28.0,5.0,5.0,5.0,13.0,-16.0,13.0,50.0,13.0,12.0,0.0,67.0,5.0,5.0,0,0,0,4,1,1,Friday,3,0.8130921619293713,0.1309523809523809,0.3305084745762712,0.6197033898305084,0,0,0.9096729575704176,1.024142756999853,1046.571428571429,0.5923730819348731,0.7956680537146016,0,0,0,0,0,0.5923730819348731,0,0
2026-01-17,0.7400318979266348,1254.0,928.0,602.0,308.0,860.0,571.0,289.0,625.0,72.0,72.0,239.0,-3.0,9.0,9.0,15.0,12.0,9.0,18.0,0.0,314.0,-1.0,314.0,44.0,358.0,453.0,22.0,475.0,35.0,33.0,10.0,79.0,25.0,5.0,5.0,0.0,20.0,67.0,13.0,51.0,13.0,62.0,0.0,61.0,6.0,5.0,0,1,0,5,1,1,Saturday,3,0.7400318979266348,0.1152,0.3114224137931034,0.615301724137931,0,0,0.8394192165700425,0.9957316710925308,998.1428571428572,0.6951533088470373,0.8481572276462978,0,0,0,0,0,0.6951533088470373,0,0
