Date,KPI EAU,TCM,E_Appro Facturation,EI_Facturation,EP_Facturation,E. Appro Looker,EI_Looker,EP_Looker,ED_Total,EOR_Total,EP Cantines,EP Sanitaires,EP IFMIA,BD NORD,BD SUD,ZC,U3,Bât X,AEB+AKP,EP Arrosage,Rejet sanitaires,Rejet STEP,EI_TTS CATA_PA,EI_Application PA,EI_Peinture,ED_TTS CATA_PA,ED_Application PA,ED_Peinture,EI_TARs,EI_STEP,EI_AEB,EI_TC,EI _TOUR UE,EI_BD1&2,EI _ST,EI_Bouclier,EI_Incendie,EI Autres Process,ED_PB,ED_AEB,ED_TC,ED_BD,ED_UE,EOR TAR UE,EOR TAR BD,EOR TAR ST,is_arret,is_weekend,is_lundi,jour_semaine,mois,trimestre,nom_jour,semaine_annee,KPI_m3_veh,ratio_EOR_ED,taux_EP,taux_EI,anomalie_kpi,anomalie_recyclage,KPI_MA7,KPI_MA30,conso_MA7
2026-01-01,,0.0,724.0,614.0,89.0,590.0,590.0,,450.0,88.0,14.0,74.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,0.0,91.0,0.0,116.0,26.0,142.0,100.0,66.0,166.0,68.0,128.0,72.0,3.0,8.0,60.0,0.0,0.0,113.0,88.0,0.0,28.0,0.0,2.0,10.0,27.0,61.0,0.0,1,0,0,3,1,1,Thursday,1,,0.19555555555555557,,1.0,0,0,,,
2026-01-02,,0.0,784.0,681.0,120.0,660.0,608.0,52.0,220.0,60.0,20.0,100.0,0.0,1.0,4.0,6.0,3.0,1.0,5.0,0.0,122.0,0.0,96.0,52.0,148.0,100.0,66.0,166.0,29.0,218.0,0.0,45.0,13.0,14.0,2.0,0.0,156.0,85.0,0.0,15.0,0.0,8.0,0.0,44.0,14.0,2.0,1,0,0,4,1,1,Friday,1,,0.2727272727272727,0.07878787878787878,0.9212121212121213,0,0,,,
2026-01-03,,0.0,783.0,580.0,140.0,732.0,590.0,142.0,312.0,80.0,36.0,104.0,0.0,4.0,6.0,11.0,2.0,3.0,10.0,0.0,142.0,0.0,66.0,15.0,81.0,237.0,66.0,303.0,43.0,219.0,0.0,69.0,18.0,24.0,1.0,0.0,81.0,87.0,4.0,71.0,4.0,9.0,0.0,55.0,24.0,1.0,1,1,0,5,1,1,Saturday,1,,0.2564102564102564,0.19398907103825136,0.8060109289617486,0,0,,,660.6666666666666
2026-01-04,,0.0,787.0,705.0,80.0,759.0,683.0,76.0,100.0,83.0,7.0,73.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,81.0,0.0,1.0,11.0,12.0,52.0,66.0,118.0,67.0,290.0,0.0,6.0,8.0,59.0,0.0,0.0,36.0,294.0,0.0,3.0,0.0,18.0,0.0,24.0,59.0,0.0,1,1,0,6,1,1,Sunday,1,,0.83,0.10013175230566534,0.8998682476943346,0,0,,,685.25
2026-01-05,24.022222222222222,45.0,1081.0,780.0,254.0,1103.0,829.0,274.0,574.0,67.0,69.0,183.0,2.0,7.0,7.0,14.0,17.0,10.0,14.0,0.0,259.0,1.0,296.0,118.0,414.0,413.0,66.0,479.0,29.0,155.0,0.0,75.0,22.0,4.0,3.0,0.0,15.0,92.0,8.0,63.0,8.0,61.0,0.0,59.0,5.0,3.0,1,0,1,0,1,1,Monday,2,,0.11672473867595819,0.2484134179510426,0.7515865820489573,0,0,,,768.8
2026-01-06,1.2286541244573081,691.0,849.0,458.0,348.0,776.0,441.0,335.0,672.0,88.0,82.0,263.0,3.0,9.0,9.0,15.0,19.0,12.0,18.0,0.0,355.0,0.0,198.0,62.0,260.0,502.0,95.0,597.0,58.0,31.0,72.0,84.0,20.0,33.0,5.0,0.0,0.0,-47.0,12.0,60.0,12.0,60.0,0.0,50.0,33.0,5.0,0,0,0,1,1,1,Tuesday,2,1.1230101302460203,0.13095238095238096,0.43170103092783507,0.5682989690721649,0,0,,,770.0
2026-01-07,1.0731707317073171,738.0,792.0,456.0,309.0,809.0,481.0,328.0,729.0,38.0,89.0,218.0,2.0,9.0,10.0,15.0,23.0,13.0,19.0,0.0,315.0,0.0,209.0,63.0,272.0,465.0,96.0,561.0,44.0,38.0,72.0,81.0,22.0,18.0,4.0,5.0,21.0,-77.0,11.0,65.0,11.0,55.0,0.0,53.0,-19.0,4.0,0,0,0,2,1,1,Wednesday,2,1.0962059620596205,0.05212620027434842,0.4054388133498146,0.5945611866501854,0,1,,,775.5714285714286
2026-01-08,1.0274725274725274,910.0,935.0,605.0,312.0,910.0,599.0,311.0,642.0,90.0,81.0,230.0,1.0,8.0,9.0,14.0,22.0,11.0,17.0,0.0,318.0,0.0,280.0,58.0,338.0,457.0,16.0,473.0,47.0,56.0,72.0,94.0,31.0,11.0,5.0,4.0,0.0,-6.0,15.0,68.0,15.0,60.0,0.0,73.0,12.0,5.0,0,0,0,3,1,1,Thursday,2,1.0,0.14018691588785046,0.34175824175824177,0.6582417582417582,0,0,1.0730720307685468,,821.2857142857143
2026-01-09,1.3396226415094339,742.0,994.0,671.0,347.0,934.0,633.0,301.0,575.0,81.0,86.0,259.0,2.0,10.0,10.0,15.0,21.0,10.0,20.0,0.0,353.0,0.0,222.0,83.0,305.0,410.0,2.0,412.0,38.0,80.0,72.0,98.0,29.0,4.0,5.0,0.0,62.0,16.0,12.0,72.0,12.0,56.0,0.0,71.0,5.0,5.0,0,0,0,4,1,1,Friday,2,1.2587601078167117,0.1408695652173913,0.3222698072805139,0.6777301927194861,0,0,1.119494050030588,,860.4285714285714
2026-01-10,1.09130060292851,1161.0,1267.0,1008.0,242.0,1325.0,1048.0,277.0,614.0,91.0,68.0,174.0,0.0,7.0,8.0,13.0,19.0,6.0,15.0,0.0,246.0,0.0,299.0,61.0,360.0,425.0,14.0,439.0,47.0,296.0,0.0,96.0,33.0,8.0,6.0,4.0,27.0,178.0,15.0,76.0,15.0,58.0,0.0,77.0,8.0,6.0,0,1,0,5,1,1,Saturday,2,1.1412575366063737,0.1482084690553746,0.2090566037735849,0.7909433962264151,0,0,1.1238467473457452,,945.1428571428571
